Team_Year,Games,Wins,Losses,Fumbles_Recovered,Defensive_Rank,Defensive_Plays,Yards_Allowed,Total_TDs_Allowed,Avg_Sacks_Per_Game,Offensive_Rank
Minnesota (Big Ten)_2018,13,7,6,10,54,845,5015,42,2.08,86
Mississippi St. (SEC)_2018,13,8,5,7,1,829,3420,15,1.92,70
Missouri (SEC)_2018,13,8,5,6,62,889,5050,39,1,13
Navy (AAC)_2018,13,3,10,12,86,850,5543,60,1.54,110
NC State (ACC)_2018,13,9,4,9,66,859,5104,39,0.85,26
Nebraska (Big Ten)_2018,12,4,8,9,94,895,5202,47,2.33,25
Nevada (MWC)_2018,13,8,5,11,58,959,5038,46,1.31,38
New Mexico (MWC)_2018,12,3,9,13,119,898,5676,56,2.25,119
New Mexico St. (FBS Independent)_2018,12,3,9,10,120,961,5711,63,3.33,96
North Carolina (ACC)_2018,11,2,9,10,105,823,4924,49,0.91,31
North Texas (C-USA)_2018,13,9,4,4,48,915,4870,38,2.15,20
Northern Ill. (MAC)_2018,14,8,6,11,40,1046,4998,35,3.07,123
Northwestern (Big Ten)_2018,14,9,5,14,64,983,5472,38,2.57,107
Notre Dame (FBS Independent)_2018,13,12,1,9,30,957,4516,28,1.92,32
Ohio (MAC)_2018,13,9,4,16,65,834,5082,42,1.54,16
Ohio St. (Big Ten)_2018,14,13,1,12,72,979,5648,46,1.64,2
Oklahoma (Big 12)_2018,14,12,2,5,114,1036,6353,62,1.36,1
Oklahoma St. (Big 12)_2018,13,7,6,8,112,974,5882,55,2.62,10
Old Dominion (C-USA)_2018,12,4,8,5,118,906,5657,59,2.67,40
Ole Miss (SEC)_2018,12,5,7,8,121,918,5801,54,2.67,9
Oregon (Pac-12)_2018,13,9,4,6,55,956,5017,38,1.69,41
Oregon St. (Pac-12)_2018,12,2,10,5,128,868,6441,76,4,66
Penn St. (Big Ten)_2018,13,9,4,7,34,965,4556,34,2.38,45
Pittsburgh (ACC)_2018,14,7,7,9,59,929,5426,50,2.36,97
Purdue (Big Ten)_2018,13,6,7,3,113,982,5884,49,2.31,29
Rice (C-USA)_2018,13,2,11,11,103,842,5799,62,1.85,124
Rutgers (Big Ten)_2018,12,1,11,6,69,845,4818,49,1.33,127
San Diego St. (MWC)_2018,13,7,6,5,21,854,4350,35,2.54,111
San Jose St. (MWC)_2018,12,1,11,7,125,955,5941,57,3.25,122
SMU (AAC)_2018,12,5,7,11,91,931,5158,54,2.58,80
South Alabama (Sun Belt)_2018,12,3,9,6,107,804,5384,61,2.08,105
South Carolina (SEC)_2018,13,7,6,10,84,991,5516,42,1.77,43
South Fla. (AAC)_2018,13,7,6,10,104,994,5806,53,2.92,33
Southern California (Pac-12)_2018,12,5,7,6,60,868,4656,42,2.25,83
Southern Miss. (C-USA)_2018,11,6,5,8,3,672,3062,27,3,99
Stanford (Pac-12)_2018,13,9,4,7,78,942,5331,33,1.85,85
Syracuse (ACC)_2018,13,10,3,13,87,951,5545,42,2.85,19
TCU (Big 12)_2018,13,7,6,9,24,906,4397,38,1.23,98
Temple (AAC)_2018,13,8,5,13,47,1036,4843,47,1.38,60
Tennessee (SEC)_2018,12,5,7,6,49,799,4529,42,1.92,121
Texas (Big 12)_2018,14,10,4,8,67,982,5499,44,2,57
Texas A&M (SEC)_2018,13,9,4,4,32,785,4529,43,2.69,15
Texas St. (Sun Belt)_2018,12,3,9,12,53,869,4607,39,2.42,120
Texas Tech (Big 12)_2018,12,5,7,6,108,905,5387,47,2.08,12
Toledo (MAC)_2018,13,7,6,9,93,963,5620,54,2.31,30
Troy (Sun Belt)_2018,13,10,3,13,31,896,4523,38,2.08,79
Tulane (AAC)_2018,13,7,6,6,75,951,5288,46,2.69,69
Tulsa (AAC)_2018,12,3,9,11,76,869,4892,43,3.25,90
UAB (C-USA)_2018,14,11,3,11,9,875,4189,28,1.64,64
UCF (AAC)_2018,13,12,1,14,95,1031,5638,35,1.46,5
UCLA (Pac-12)_2018,12,3,9,7,102,891,5339,52,2.67,74
UConn (AAC)_2018,12,1,11,6,129,841,7409,81,2.33,88
UNLV (MWC)_2018,12,4,8,10,115,843,5450,55,2.58,77
Utah (Pac-12)_2018,14,9,5,6,14,956,4418,35,2.29,71
Utah St. (MWC)_2018,13,11,2,10,51,986,4933,33,0.77,11
UTEP (C-USA)_2018,12,1,11,6,68,797,4736,49,3.5,125
UTSA (C-USA)_2018,12,3,9,10,96,815,5226,47,3,129
Vanderbilt (SEC)_2018,13,6,7,9,99,929,5706,41,1.69,58
Virginia (ACC)_2018,13,8,5,4,20,815,4297,30,2.46,81
Virginia Tech (ACC)_2018,13,6,7,12,98,892,5703,53,2.15,39
Wake Forest (ACC)_2018,13,7,6,10,116,1015,5962,59,2.62,28
Washington (Pac-12)_2018,14,10,4,9,12,918,4287,26,1.71,54
Washington St. (Pac-12)_2018,13,11,2,11,42,838,4674,38,1,27
West Virginia (Big 12)_2018,12,8,4,9,74,839,4876,41,2.42,8
Western Ky. (C-USA)_2018,12,3,9,6,82,862,5059,37,2.67,101
Western Mich. (MAC)_2018,13,7,6,11,57,813,5026,60,1.54,35
Wisconsin (Big Ten)_2018,13,8,5,11,29,814,4474,33,1.85,36
Wyoming (MWC)_2018,12,6,6,5,19,818,3914,33,2,118
Air Force (Mountain West)_2019,13,11,2,9,17,752,4155,34,0.31,51
Akron (MAC)_2019,12,0,12,6,83,871,4967,56,4.83,130
Alabama (SEC)_2019,13,11,2,11,20,877,4217,26,0.92,6
Appalachian St. (Sun Belt)_2019,14,13,1,10,26,940,4705,35,1.29,39
Arizona (Pac-12)_2019,12,4,8,4,120,889,5657,54,2.75,30
Arizona St. (Pac-12)_2019,13,8,5,15,67,928,5113,39,2.54,94
Arkansas (SEC)_2019,12,2,10,10,110,827,5408,57,1.58,111
Arkansas St. (Sun Belt)_2019,13,8,5,7,124,1018,6218,56,3.08,33
Army West Point (FBS Independent)_2019,13,5,8,10,30,789,4450,38,1.15,89
Auburn (SEC)_2019,13,9,4,13,28,905,4381,32,1.38,64
Ball St. (MAC)_2019,12,5,7,9,91,876,5096,47,2.42,16
Baylor (Big 12)_2019,14,11,3,13,39,1032,5046,32,2.71,52
Boise St. (Mountain West)_2019,14,12,2,9,33,928,4848,39,1.93,48
Boston College (ACC)_2019,13,6,7,7,125,983,6223,49,1,47
Bowling Green (MAC)_2019,12,3,9,8,117,798,5606,62,1.17,120
Buffalo (MAC)_2019,13,8,5,11,7,780,3795,35,0.62,82
BYU (FBS Independent)_2019,13,7,6,7,68,914,5116,40,2.23,28
California (Pac-12)_2019,13,8,5,8,65,945,5076,32,3.62,117
Central Mich. (MAC)_2019,14,8,6,6,41,938,5082,49,1.5,37
Charlotte (C-USA)_2019,13,7,6,6,59,824,4952,56,1.62,56
Cincinnati (AAC)_2019,14,11,3,10,40,987,5060,34,2.5,80
Clemson (ACC)_2019,15,14,1,11,6,970,4325,24,1.2,5
Coastal Carolina (Sun Belt)_2019,12,5,7,6,62,761,4603,50,1.67,74
Colorado (Pac-12)_2019,12,5,7,6,104,815,5303,50,1.75,83
Colorado St. (Mountain West)_2019,12,4,8,7,52,811,4529,47,2.25,34
Duke (ACC)_2019,12,5,7,8,56,852,4555,43,2.33,114
East Carolina (AAC)_2019,12,4,8,7,119,864,5632,53,1.42,46
Eastern Mich. (MAC)_2019,13,6,7,10,94,922,5596,52,1.77,67
FIU (C-USA)_2019,13,6,7,6,69,898,5117,43,1.08,91
Fla. Atlantic (C-USA)_2019,14,11,3,11,50,979,5239,41,2,23
Florida (SEC)_2019,13,11,2,7,9,809,3963,23,1.92,45
Florida St. (ACC)_2019,13,6,7,10,90,1039,5514,40,3.69,60
Fresno St. (Mountain West)_2019,12,4,8,11,88,879,5037,46,1.92,85
Ga. Southern (Sun Belt)_2019,13,7,6,10,55,871,4929,47,2.08,118
Georgia (SEC)_2019,14,12,2,8,3,900,3860,20,1.07,61
Georgia St. (Sun Belt)_2019,13,7,6,8,112,886,5922,62,1.46,31
Georgia Tech (ACC)_2019,12,3,9,9,89,870,5075,49,2.33,127
Hawaii (Mountain West)_2019,15,10,5,5,96,1029,6470,61,1.8,13
Houston (AAC)_2019,12,4,8,6,118,824,5610,54,2.92,78
Illinois (Big Ten)_2019,13,6,7,16,77,949,5310,41,3,115
Indiana (Big Ten)_2019,13,8,5,10,36,853,4579,39,2.08,41
Iowa (Big Ten)_2019,13,10,3,9,12,835,4007,21,1.77,99
Iowa St. (Big 12)_2019,13,7,6,7,45,896,4801,39,1.38,27
Kansas (Big 12)_2019,12,3,9,2,122,927,5702,56,1.92,90
Kansas St. (Big 12)_2019,13,8,5,4,44,776,4789,31,1.92,103
Kent St. (MAC)_2019,13,7,6,11,121,974,6155,52,3.15,66
Kentucky (SEC)_2019,13,8,5,11,21,796,4220,32,1.31,76
La.-Monroe (Sun Belt)_2019,12,5,7,8,128,865,5802,61,1.33,17
Liberty (FBS Independent)_2019,13,8,5,6,80,926,5319,46,2.15,32
Louisiana (Sun Belt)_2019,14,11,3,9,47,955,5205,33,1.07,8
Louisiana Tech (C-USA)_2019,13,10,3,9,53,941,4910,35,2.23,35
Louisville (ACC)_2019,13,8,5,11,102,904,5719,58,3,24
LSU (SEC)_2019,15,15,0,5,31,1008,5153,42,2.33,1
Marshall (C-USA)_2019,13,8,5,6,57,891,4935,41,1.92,73
Maryland (Big Ten)_2019,12,3,9,6,109,906,5390,53,3.17,109
Massachusetts (FBS Independent)_2019,12,1,11,11,130,867,6734,86,2.25,126
Memphis (AAC)_2019,14,12,2,8,61,999,5369,45,1.93,10
Miami (FL) (ACC)_2019,13,6,7,10,13,849,4028,30,3.92,98
Miami (OH) (MAC)_2019,14,8,6,9,60,1014,5347,52,2.21,122
Michigan (Big Ten)_2019,13,9,4,11,11,846,3994,37,1.92,68
Michigan St. (Big Ten)_2019,13,7,6,10,18,843,4181,37,1.38,95
Middle Tenn. (C-USA)_2019,12,4,8,9,114,888,5512,43,1.83,59
Minnesota (Big Ten)_2019,13,11,2,5,10,787,3986,37,2.31,42
Mississippi St. (SEC)_2019,13,6,7,14,73,824,5189,49,2.38,70
Missouri (SEC)_2019,12,6,6,7,14,771,3744,28,2.25,93
Navy (AAC)_2019,13,11,2,10,16,777,4084,36,1.31,19
NC State (ACC)_2019,12,4,8,4,72,857,4787,46,1.5,88
Nebraska (Big Ten)_2019,12,5,7,10,64,832,4666,41,2.33,55
Nevada (Mountain West)_2019,13,7,6,8,75,857,5201,52,2.54,101
New Mexico (Mountain West)_2019,12,2,10,7,129,868,5828,59,1.5,69
New Mexico St. (FBS Independent)_2019,12,2,10,7,126,875,5759,61,2.58,102
North Carolina (ACC)_2019,13,7,6,6,49,893,4851,38,2.85,12
North Texas (C-USA)_2019,12,4,8,9,81,860,4931,50,2.17,54
Northern Ill. (MAC)_2019,12,5,7,9,63,763,4638,43,2,104
Northwestern (Big Ten)_2019,12,3,9,7,25,796,4028,34,1.92,124
Notre Dame (FBS Independent)_2019,13,11,2,19,18,894,4181,26,1.23,43
Ohio (MAC)_2019,13,7,6,10,76,882,5248,43,1.62,29
Ohio St. (Big Ten)_2019,14,13,1,10,1,881,3636,23,2.5,4
Oklahoma (Big 12)_2019,14,12,2,4,38,886,4990,48,1.64,3
Oklahoma St. (Big 12)_2019,13,8,5,7,82,926,5360,43,2,21
Old Dominion (C-USA)_2019,12,1,11,9,46,787,4453,45,4.33,128
Ole Miss (SEC)_2019,12,4,8,6,85,859,5001,39,1.75,26
Oregon (Pac-12)_2019,14,12,2,7,22,973,4607,24,1.79,40
Oregon St. (Pac-12)_2019,12,5,7,8,108,884,5348,52,2.08,58
Penn St. (Big Ten)_2019,13,11,2,12,34,935,4504,23,2.46,57
Pittsburgh (ACC)_2019,13,8,5,5,15,905,4068,33,2.23,87
Purdue (Big Ten)_2019,12,4,8,6,100,869,5235,46,2.33,75
Rice (C-USA)_2019,12,3,9,5,58,764,4563,40,2.83,125
Rutgers (Big Ten)_2019,12,2,10,4,98,837,5203,59,2.17,129
San Diego St. (Mountain West)_2019,13,10,3,9,5,804,3741,19,1.62,110
San Jose St. (Mountain West)_2019,12,5,7,7,106,918,5325,49,1.17,50
SMU (AAC)_2019,13,10,3,12,107,1004,5785,53,1.31,9
South Alabama (Sun Belt)_2019,12,2,10,7,79,850,4905,44,2.33,113
South Carolina (SEC)_2019,12,4,8,5,66,854,4719,37,2.08,96
South Fla. (AAC)_2019,12,4,8,12,71,887,4777,45,3.75,112
Southern California (Pac-12)_2019,13,8,5,7,78,928,5313,47,2.15,20
Southern Miss. (C-USA)_2019,13,7,6,5,37,803,4583,44,1.77,63
Stanford (Pac-12)_2019,12,4,8,4,93,819,5163,45,2.42,97
Syracuse (ACC)_2019,12,5,7,12,115,918,5569,47,4.17,71
TCU (Big 12)_2019,12,5,7,4,27,769,4043,39,2.5,62
Temple (AAC)_2019,13,8,5,12,54,996,4912,43,1.62,77
Tennessee (SEC)_2019,13,8,5,4,23,868,4348,34,1.62,100
Texas (Big 12)_2019,13,8,5,7,97,918,5609,42,2.77,14
Texas A&M (SEC)_2019,13,8,5,4,29,842,4423,35,2.62,72
Texas St. (Sun Belt)_2019,12,3,9,8,86,875,5005,51,2.5,121
Texas Tech (Big 12)_2019,12,4,8,5,127,874,5764,46,1.5,11
Toledo (MAC)_2019,12,6,6,4,123,862,5708,50,2.42,36
Troy (Sun Belt)_2019,12,5,7,5,99,840,5210,53,2.25,18
Tulane (AAC)_2019,13,7,6,4,51,892,4901,43,2.15,22
Tulsa (AAC)_2019,12,4,8,13,70,835,4737,48,3.25,53
UAB (C-USA)_2019,14,9,5,13,8,897,4226,38,1.79,105
UCF (AAC)_2019,13,10,3,8,32,985,4499,36,1.85,2
UCLA (Pac-12)_2019,12,4,8,9,113,816,5475,55,3.08,65
UConn (AAC)_2019,12,2,10,7,116,800,5602,67,2.75,108
UNLV (Mountain West)_2019,12,4,8,5,105,848,5308,49,2.42,92
Utah (Pac-12)_2019,14,11,3,8,2,813,3769,25,1.86,48
Utah St. (Mountain West)_2019,13,7,6,13,103,1016,5727,53,1.77,44
UTEP (C-USA)_2019,12,1,11,5,95,765,5170,54,2.92,116
UTSA (C-USA)_2019,12,4,8,11,92,790,5149,51,2.58,107
Vanderbilt (SEC)_2019,12,3,9,5,101,798,5239,50,2.33,123
Virginia (ACC)_2019,14,9,5,6,48,906,5206,48,2.93,81
Virginia Tech (ACC)_2019,13,8,5,5,42,898,4723,41,2.23,86
Wake Forest (ACC)_2019,13,8,5,11,84,936,5414,47,1.77,15
Washington (Pac-12)_2019,13,8,5,9,35,887,4532,30,1.69,79
Washington St. (Pac-12)_2019,13,6,7,9,111,886,5882,53,1.54,7
West Virginia (Big 12)_2019,12,5,7,6,74,874,4792,43,1.75,119
Western Ky. (C-USA)_2019,13,9,4,4,24,835,4361,32,1.54,84
Western Mich. (MAC)_2019,13,7,6,9,87,932,5456,40,1.38,25
Wisconsin (Big Ten)_2019,14,10,4,10,4,839,4020,30,1.43,38
Wyoming (Mountain West)_2019,13,8,5,8,43,941,4729,25,1.62,106
Air Force (Mountain West)_2020,6,3,3,3,8,360,1820,12,0.33,73
Akron (MAC)_2020,6,1,5,4,110,365,2759,34,4.33,121
Alabama (SEC)_2020,11,11,0,10,33,767,3863,25,1.45,5
App State (Sun Belt)_2020,12,9,3,3,18,798,3946,30,1.75,26
Arizona (Pac-12)_2020,5,0,5,1,116,351,2365,26,3.6,86
Arizona St. (Pac-12)_2020,4,2,2,8,89,322,1743,13,1.5,20
Arkansas (SEC)_2020,10,3,7,5,105,799,4517,43,3.4,67
Arkansas St. (Sun Belt)_2020,11,4,7,6,115,821,5171,53,2.64,13
Army West Point (FBS Independent)_2020,11,9,2,5,2,592,2982,20,0.82,112
Auburn (SEC)_2020,10,6,4,4,61,708,4009,31,1.9,75
Ball St. (MAC)_2020,7,6,1,8,93,511,3092,25,3.57,24
Baylor (Big 12)_2020,9,2,7,5,50,625,3451,33,3.44,118
Boise St. (Mountain West)_2020,7,5,2,0,44,497,2613,23,2,98
Boston College (ACC)_2020,11,6,5,12,73,750,4585,39,2.55,74
Bowling Green (MAC)_2020,5,0,5,1,117,356,2379,30,2,111
Buffalo (MAC)_2020,7,6,1,4,36,483,2513,19,0.14,17
BYU (FBS Independent)_2020,12,11,1,10,13,793,3809,23,1,7
California (Pac-12)_2020,4,1,3,2,41,258,1468,14,3.75,115
Central Mich. (MAC)_2020,6,3,3,7,83,439,2566,23,2.33,46
Charlotte (C-USA)_2020,6,2,4,3,76,384,2517,26,2.67,81
Cincinnati (AAC)_2020,9,9,0,4,11,647,2830,16,1.22,19
Clemson (ACC)_2020,11,10,1,9,6,709,3283,23,1.64,10
Coastal Carolina (Sun Belt)_2020,11,11,0,8,25,699,3748,25,1.09,27
Colorado (Pac-12)_2020,5,4,1,4,45,348,1884,15,1.2,45
Colorado St. (Mountain West)_2020,4,1,3,4,35,298,1435,18,3,114
Duke (ACC)_2020,11,2,9,11,97,783,4893,56,3.36,80
East Carolina (AAC)_2020,9,3,6,8,101,648,4026,42,2.56,58
Eastern Mich. (MAC)_2020,6,2,4,9,122,460,2941,27,2.83,61
FIU (C-USA)_2020,5,0,5,1,79,367,2114,19,3.8,122
Fla. Atlantic (C-USA)_2020,9,5,4,5,28,601,3080,17,2.22,113
Florida (SEC)_2020,11,8,3,5,63,782,4452,41,1.73,9
Florida St. (ACC)_2020,9,3,6,6,106,635,4107,43,3.22,62
Fresno St. (Mountain West)_2020,6,3,3,6,84,420,2580,23,4,16
Ga. Southern (Sun Belt)_2020,13,8,5,8,15,828,4234,33,1.23,84
Georgia (SEC)_2020,9,7,2,3,14,597,2905,21,1.89,44
Georgia St. (Sun Belt)_2020,9,5,4,8,81,672,3819,40,1.22,48
Georgia Tech (ACC)_2020,10,3,7,12,109,784,4593,46,2.3,72
Hawaii (Mountain West)_2020,9,5,4,5,68,645,3679,31,3.11,77
Houston (AAC)_2020,8,3,5,3,58,552,3188,33,2.25,54
Illinois (Big Ten)_2020,8,2,6,8,114,572,3753,37,1.88,98
Indiana (Big Ten)_2020,7,6,1,3,37,468,2532,18,1.14,95
Iowa (Big Ten)_2020,8,6,2,7,10,578,2510,17,1.38,87
Iowa St. (Big 12)_2020,11,8,3,6,29,715,3773,29,1.36,31
Kansas (Big 12)_2020,9,0,9,6,108,623,4133,52,5.22,126
Kansas St. (Big 12)_2020,10,4,6,5,96,728,4447,42,1.4,106
Kent St. (MAC)_2020,4,3,1,2,80,261,1696,21,1.25,1
Kentucky (SEC)_2020,10,4,6,6,53,698,3870,35,1.7,117
Liberty (FBS Independent)_2020,10,9,1,6,7,602,3012,26,2.1,14
Louisiana (Sun Belt)_2020,10,9,1,6,31,730,3478,27,0.9,43
Louisiana Tech (C-USA)_2020,10,5,5,5,82,699,4273,45,2.9,116
Louisville (ACC)_2020,11,4,7,7,42,704,4060,35,2.73,28
LSU (SEC)_2020,10,5,5,9,124,678,4920,45,2.5,35
Marshall (C-USA)_2020,10,7,3,10,3,635,2794,15,1.2,70
Maryland (Big Ten)_2020,5,2,3,2,84,401,2150,20,3.2,53
Massachusetts (FBS Independent)_2020,4,0,4,3,118,279,1928,21,2.5,127
Memphis (AAC)_2020,11,8,3,8,87,841,4777,39,1.82,25
Miami (FL) (ACC)_2020,10,8,2,9,65,720,4074,32,2.9,36
Miami (OH) (MAC)_2020,3,2,1,0,55,195,1181,11,1.33,90
Michigan (Big Ten)_2020,6,2,4,2,88,466,2606,26,1.33,78
Michigan St. (Big Ten)_2020,7,2,5,6,57,527,2777,32,2.29,109
Middle Tenn. (C-USA)_2020,9,3,6,6,99,663,4014,41,2.56,89
Minnesota (Big Ten)_2020,7,3,4,2,72,422,2911,28,1.86,65
Mississippi St. (SEC)_2020,10,3,7,7,47,694,3803,35,3,103
Missouri (SEC)_2020,10,5,5,5,67,669,4080,42,1.6,59
Navy (AAC)_2020,10,3,7,6,51,644,3855,34,2.3,124
NC State (ACC)_2020,11,8,3,3,74,841,4600,39,2.64,69
Nebraska (Big Ten)_2020,8,3,5,2,52,566,3092,27,2,67
Nevada (Mountain West)_2020,9,7,2,3,46,630,3399,26,2.22,30
New Mexico (Mountain West)_2020,7,2,5,7,100,460,3130,28,2.29,64
North Carolina (ACC)_2020,11,8,3,3,56,768,4354,39,2.73,4
North Texas (C-USA)_2020,10,4,6,2,126,752,5221,58,1.7,8
Northern Ill. (MAC)_2020,6,0,6,2,75,379,2513,30,2.33,88
Northwestern (Big Ten)_2020,8,6,2,4,23,563,2710,12,1.5,100
Notre Dame (ACC)_2020,11,10,1,10,20,687,3686,23,2.18,22
Ohio (MAC)_2020,3,2,1,1,54,213,1167,6,3,92
Ohio St. (Big Ten)_2020,6,6,0,10,34,396,2148,16,3,6
Oklahoma (Big 12)_2020,10,8,2,3,19,659,3336,28,2.2,18
Oklahoma St. (Big 12)_2020,10,7,3,8,40,706,3657,28,2.4,40
Ole Miss (SEC)_2020,9,4,5,6,127,693,4821,48,1.89,3
Oregon (Pac-12)_2020,6,4,2,2,69,446,2457,21,1.67,38
Oregon St. (Pac-12)_2020,7,2,5,1,94,477,3096,29,1.71,55
Penn St. (Big Ten)_2020,9,4,5,6,17,585,2959,31,3.11,37
Pittsburgh (ACC)_2020,11,6,5,6,24,765,3735,35,2.36,79
Purdue (Big Ten)_2020,6,2,4,5,59,445,2394,22,2,71
Rice (C-USA)_2020,5,2,3,3,27,300,1708,11,3.4,107
Rutgers (Big Ten)_2020,9,3,6,12,103,687,4042,36,2.44,105
San Diego St. (Mountain West)_2020,8,4,4,5,4,520,2268,16,2.12,97
San Jose St. (Mountain West)_2020,7,7,0,6,22,489,2367,15,1,29
SMU (AAC)_2020,10,7,3,10,78,748,4222,41,2.1,11
South Alabama (Sun Belt)_2020,11,4,7,7,90,745,4800,37,3.64,94
South Carolina (SEC)_2020,10,2,8,3,104,688,4515,47,2.7,96
South Fla. (AAC)_2020,9,1,8,3,92,656,3973,47,3.33,90
Southern California (Pac-12)_2020,6,5,1,7,43,404,2218,19,2.5,49
Southern Miss. (C-USA)_2020,10,3,7,7,62,697,4017,42,2.4,83
Stanford (Pac-12)_2020,6,4,2,5,91,400,2632,25,1.67,47
Syracuse (ACC)_2020,11,1,10,11,112,877,5103,45,3.45,125
TCU (Big 12)_2020,10,6,4,7,32,659,3509,29,2.3,51
Temple (AAC)_2020,7,1,6,9,86,473,3031,34,1.71,101
Tennessee (SEC)_2020,10,3,7,5,65,699,4074,35,2.9,104
Texas (Big 12)_2020,9,6,3,8,70,700,3688,31,2.22,21
Texas A&M (SEC)_2020,9,8,1,4,12,528,2849,24,0.44,33
Texas St. (Sun Belt)_2020,12,2,10,8,125,939,5939,58,2.25,85
Texas Tech (Big 12)_2020,10,4,6,5,98,777,4449,45,1.6,39
Toledo (MAC)_2020,6,4,2,5,38,406,2173,18,2.5,12
Troy (Sun Belt)_2020,11,5,6,6,64,806,4456,34,2,66
Tulane (AAC)_2020,12,6,6,10,77,900,5064,45,2.92,63
Tulsa (AAC)_2020,8,6,2,10,26,578,2726,17,2,56
UAB (C-USA)_2020,9,6,3,6,9,597,2800,23,0.44,60
UCF (AAC)_2020,10,6,4,13,123,794,4918,44,2.2,2
UCLA (Pac-12)_2020,7,3,4,2,71,527,2869,28,1.71,23
ULM (Sun Belt)_2020,10,0,10,7,113,678,4646,56,2.7,119
UNLV (Mountain West)_2020,6,0,6,3,119,404,2893,28,4.83,108
Utah (Pac-12)_2020,5,3,2,6,39,332,1825,16,1.4,52
Utah St. (Mountain West)_2020,6,1,5,2,120,444,2912,28,2.33,123
UTEP (C-USA)_2020,8,3,5,6,49,499,3050,33,1.5,102
UTSA (C-USA)_2020,11,7,4,7,48,749,4189,36,2,50
Vanderbilt (SEC)_2020,9,0,9,7,121,603,4387,44,2.11,110
Virginia (ACC)_2020,10,5,5,7,95,693,4429,34,2,41
Virginia Tech (ACC)_2020,11,5,6,5,102,795,4922,45,2,32
Wake Forest (ACC)_2020,8,4,4,4,107,599,3655,31,3.25,34
Washington (Pac-12)_2020,4,3,1,5,30,259,1385,14,0.25,57
Washington St. (Pac-12)_2020,4,1,3,4,111,276,1847,21,2.25,76
West Virginia (Big 12)_2020,9,5,4,2,5,561,2675,23,2,42
Western Ky. (C-USA)_2020,11,5,6,4,21,741,3700,34,2.27,120
Western Mich. (MAC)_2020,6,4,2,1,60,428,2398,25,1.17,15
Wisconsin (Big Ten)_2020,6,3,3,4,1,332,1581,11,2,93
Wyoming (Mountain West)_2020,6,2,4,6,16,399,1968,16,2.67,82
